#designation	ra	dec	w1	w1_err	h	h_err	k	k_err	Halpha_type	objtype_Hou	objtype_SIMBAD
J055800.09+274625.4	89.500399	27.773734	15.368	0.044	15.586	0.111	15.565	0.176	VI	CBe	-
J060009.20+294031.0	90.038349	29.675296	15.260	0.042	15.338	0.100	15.287	0.136	VI	CBe	-
J055940.57+293731.5	89.919082	29.625444	15.762	0.059	15.699	0.123	15.574	0.184	VI	CBe	-
J060159.62+291823.4	90.49844	29.306511	14.906	0.035	14.988	0.068	14.963	0.101	VI	CBe	-
J055958.15+292427.6	89.99231	29.407683	15.263	0.045	15.163	0.083	14.962	0.111	VI	CBe	-
J055006.20+280420.3	87.525837	28.072312	14.555	0.034	14.783	0.073	14.770	0.105	VI	CBe	-
J054718.49+275648.2	86.827047	27.946738	14.246	0.047	14.354	0.042	14.340	0.055	VI	CBe	-
J054941.28+283728.9	87.422036	28.6247	15.353	0.042	15.486	0.123	15.759	-	VI	CBe	-
J055626.48+304417.5	89.11037	30.738208	14.820	0.036	14.978	0.099	14.753	0.086	VI	CBe	-
J060142.97+302223.6	90.429066	30.37324	14.795	0.036	14.805	0.070	14.678	0.081	VI	CBe	-
J060505.62+285502.5	91.273442	28.917365	14.821	0.035	14.805	0.059	14.652	0.067	VI	CBe	-
J060423.42+292110.0	91.097614	29.352788	14.846	0.038	14.961	0.064	14.759	0.086	VI	CBe	-
J054649.77+295135.3	86.707389	29.859832	14.384	0.032	14.585	0.053	14.453	0.073	VI	CBe	-
J054911.84+285855.8	87.299337	28.982169	13.914	0.028	14.269	0.046	14.133	0.058	VI	CBe	-
J054825.54+290232.0	87.106439	29.042234	14.939	0.041	15.085	0.082	14.978	0.115	VI	CBe	-
J055644.64+301443.9	89.186001	30.245529	15.426	0.048	15.453	0.120	15.373	0.143	VI	CBe	-
J055021.03+303659.9	87.58765	30.61665	15.349	0.045	15.609	0.145	15.524	0.183	VI	CBe	-
J072706.47+301644.5	111.77697	30.279051	16.584	0.086	16.087	-	16.064	-	VI	CBe	-
J060404.32+273912.0	91.018027	27.653361	14.740	0.044	14.784	0.060	15.015	0.108	VI	CBe	-
J060815.77+272948.6	92.065718	27.496839	14.428	0.031	14.517	0.046	14.418	0.057	VI	CBe	-
J060614.28+275536.8	91.559517	27.926903	14.584	0.036	14.873	0.056	14.746	0.076	VI	CBe	-
J060257.67+275510.0	90.740311	27.919471	13.504	0.026	13.881	0.040	13.898	0.046	VI	CBe	-
J060420.14+275957.6	91.083957	27.999357	13.466	0.028	13.793	0.037	13.700	0.043	VI	CBe	-
J055812.73+280035.7	89.553075	28.009918	14.418	0.032	14.660	0.059	14.497	0.073	VI	CBe	-
J060149.01+271748.0	90.454222	27.29669	13.168	0.025	13.330	0.028	13.300	0.031	VI	CBe	-
J055940.68+281925.0	89.919511	28.32362	13.294	0.025	13.442	0.030	13.333	0.034	VI	CBe	-
J060147.30+280910.7	90.447117	28.152986	14.387	0.032	14.718	0.063	14.615	0.074	VI	CBe	-
J060307.81+291158.3	90.78257	29.199538	13.611	0.027	13.660	0.031	13.662	0.041	VI	CBe	-
J060126.62+285551.1	90.360955	28.930878	13.775	0.028	14.028	0.037	13.860	0.039	VI	CBe	-
J060152.82+290245.5	90.470101	29.045992	13.045	0.026	13.236	0.027	13.178	0.031	VI	CBe	-
J055948.45+294152.8	89.9519	29.698002	14.405	0.033	14.497	0.046	14.403	0.059	VI	CBe	-
J060015.26+293837.3	90.063619	29.643696	13.167	0.026	13.229	0.025	13.192	0.026	VI	CBe	-
J060118.40+294341.6	90.32667	29.728233	13.694	0.028	13.809	0.036	13.732	0.040	VI	CBe	-
J060047.54+292328.3	90.198089	29.391208	13.727	0.027	14.051	0.041	14.042	0.055	VI	CBe	-
J060007.11+292522.9	90.029629	29.423053	14.345	0.031	14.405	0.046	14.382	0.068	VI	CBe	-
J060759.01+294602.5	91.995892	29.767365	13.206	0.026	13.397	0.030	13.331	0.035	VI	CBe	-
J060849.06+294142.4	92.204419	29.695133	13.765	0.026	13.973	0.030	13.797	0.041	VI	CBe	-
J060622.93+285849.5	91.595543	28.980429	14.207	0.029	14.342	0.037	14.201	0.049	VI	CBe	-
J060451.86+290505.4	91.216095	29.084849	13.479	0.027	13.626	0.031	13.606	0.037	VI	CBe	-
J060538.20+290333.5	91.409193	29.059327	12.945	0.025	13.115	0.024	13.045	0.027	VI	CBe	-
J060354.68+292653.9	90.977867	29.44832	14.024	0.032	14.202	0.040	14.019	0.046	VI	CBe	-
J060532.44+291046.3	91.385171	29.179539	14.198	0.030	14.275	0.037	14.178	0.046	VI	CBe	-
J060452.36+291927.9	91.218201	29.324426	13.792	0.029	13.991	0.038	13.923	0.046	VI	CBe	-
J060724.92+283145.7	91.853865	28.529369	13.610	0.027	13.762	0.028	13.606	0.033	VI	CBe	-
J060333.49+280222.6	90.889549	28.039635	13.199	0.026	13.319	0.027	13.268	0.027	VI	CBe	-
J060209.25+282856.4	90.538578	28.482353	14.096	0.095	13.782	0.042	13.724	0.037	VI	CBe	-
J061558.99+285611.0	93.995819	28.936401	13.251	0.026	13.421	0.027	13.305	0.028	VI	CBe	-
J060829.48+275552.7	92.122856	27.93132	14.234	0.032	14.522	0.045	14.459	0.060	VI	CBe	-
J060917.18+274742.7	92.321619	27.795202	14.237	0.032	14.383	0.034	14.250	0.045	VI	CBe	-
J061004.27+292449.8	92.517812	29.413845	13.724	0.028	14.001	0.030	13.864	0.037	VI	CBe	-
J060921.13+281045.7	92.338082	28.17937	14.565	0.034	14.591	0.052	14.482	0.061	VI	CBe	-
J061055.07+302713.7	92.72947	30.453807	12.904	0.025	13.075	0.023	13.033	0.027	VI	CBe	-
J060758.24+303214.4	91.992705	30.537334	14.207	0.030	14.436	0.065	14.268	0.064	VI	CBe	-
J061125.15+302440.3	92.85482	30.411201	12.540	0.024	12.669	0.040	12.602	0.027	VI	CBe	-
J060804.13+310947.8	92.017232	31.16328	12.246	0.024	12.497	0.033	12.345	0.028	VI	CBe	-
J060530.44+310518.0	91.376851	31.088343	12.817	0.025	12.998	0.038	12.912	0.032	VI	CBe	-
J060422.76+310852.1	91.094844	31.147811	13.484	0.026	13.649	0.042	13.546	0.035	VI	CBe	-
J061259.16+301201.5	93.24652	30.200433	13.780	0.028	13.905	0.040	13.956	0.048	VI	CBe	-
J055905.70+293132.7	89.773754	29.525758	14.430	0.031	14.686	0.057	14.521	0.074	VI	CBe	-
J055913.31+294036.9	89.805497	29.676921	14.010	0.029	14.179	0.038	14.041	0.042	VI	CBe	-
J055831.82+293207.3	89.632614	29.535372	14.776	0.036	14.809	0.061	14.620	0.079	VI	CBe	-
J055816.88+294253.6	89.570367	29.714892	14.291	0.032	14.506	0.051	14.530	0.075	VI	CBe	-
J055747.62+294840.3	89.448438	29.811196	13.651	0.030	13.809	0.036	13.736	0.042	VI	CBe	-
J060137.71+302703.1	90.40716	30.450881	14.527	0.033	14.645	0.061	14.857	0.093	VI	CBe	-
J060530.25+305222.3	91.376075	30.872871	13.848	0.028	13.970	0.049	14.002	0.053	VI	CBe	-
J060418.02+310129.6	91.075094	31.024904	14.026	0.029	14.247	0.055	14.080	0.043	VI	CBe	-
J060411.44+310609.6	91.047687	31.102685	13.829	0.028	13.957	0.041	13.852	0.046	VI	CBe	-
J060402.16+310554.2	91.009037	31.0984	13.154	0.025	13.337	0.039	13.237	0.031	VI	CBe	-
J060329.57+311819.5	90.873229	31.305429	13.779	0.066	13.993	0.054	13.917	0.057	VI	CBe	-
J060340.01+310547.1	90.916747	31.096439	13.563	0.028	13.681	0.044	13.621	0.035	VI	CBe	-
J060416.48+285541.3	91.068684	28.928155	15.114	0.040	15.306	0.087	15.385	0.152	VI	CBe	-
J055943.98+292544.0	89.933288	29.428893	15.408	0.050	15.406	0.101	15.288	0.149	VI	CBe	-
J060747.45+290834.1	91.947731	29.142832	14.883	0.037	15.079	0.073	14.949	0.091	VI	CBe	-
J060416.08+284054.0	91.067022	28.681688	15.086	0.042	15.099	0.086	14.929	0.107	VI	CBe	-
J061126.72+280527.7	92.861353	28.091048	14.546	0.032	14.757	0.056	14.695	0.065	VI	CBe	-
J060226.92+304959.4	90.612189	30.833167	14.820	0.036	14.998	0.086	14.916	0.098	VI	CBe	-
J065036.57+285925.1	102.65239	28.99031	15.402	0.045	15.440	0.097	15.238	0.117	VI	CBe	-
J010853.38+383653.4	17.222425	38.614843	15.631	0.039	15.583	0.142	15.612	0.213	VI	CBe	-
J010642.19+403610.2	16.675821	40.602843	14.710	0.030	14.620	0.066	14.658	0.082	VI	CBe	-
J024323.53+540614.2	40.848069	54.103959	14.236	0.029	14.497	0.054	14.403	0.065	VI	CBe	-
J024800.00+531133.3	42.0000203	53.1926064	13.659	0.096	13.828	0.038	13.743	0.042	VI	CBe	-
J041206.99+320430.6	63.029155	32.075185	14.539	0.032	14.709	0.061	14.674	0.069	VI	CBe	-
J031542.89+543506.7	48.92871	54.585207	11.105	0.024	11.415	0.032	11.260	0.025	VI	CBe	-
J030222.17+532723.3	45.5924101	53.456489	12.575	0.023	12.772	0.024	12.655	0.024	VI	CBe	-
J055913.93+323834.9	89.808064	32.643032	10.263	0.023	10.468	0.035	10.368	0.023	VI	CBe	-
J060426.18+344837.1	91.109113	34.810324	11.603	0.024	11.747	0.030	11.650	0.018	VI	CBe	-
J055531.38+334550.7	88.880759	33.764111	12.364	0.024	12.548	0.028	12.454	0.026	VI	CBe	-
J064958.38+111213.7	102.49329	11.20382	12.533	0.024	12.600	0.026	12.547	0.030	VI	CBe	-
J065146.53+112015.3	102.94388	11.337599	13.261	0.024	13.275	0.027	13.263	0.034	VI	CBe	-
J064931.23+124804.0	102.38015	12.801116	10.907	0.023	11.317	0.017	11.143	0.017	VI	CBe	-
J063429.88+180732.7	98.62451	18.12576	12.936	0.025	13.031	0.025	12.986	0.031	VI	CBe	-
J064530.39+170003.5	101.37664	17.000983	13.373	0.024	13.486	0.037	13.443	0.034	VI	CBe	-
J041100.72+490105.8	62.753037	49.018291	11.352	0.023	11.773	0.032	11.517	0.025	VI	CBe	-
J040314.07+482208.6	60.808643	48.36908	10.952	0.023	11.244	0.030	11.087	0.023	VI	CBe	-
J065340.34+104201.3	103.4181187	10.7003782	12.468	0.039	12.535	0.036	12.463	0.039	VI	CBe	-
J064818.26+124336.3	102.07609	12.726776	12.918	0.024	12.968	0.031	12.876	0.029	VI	CBe	-
J065340.34+104201.3	103.4181187	10.7003782	12.468	0.039	12.535	0.036	12.463	0.039	VI	CBe	-
