#designation	ra	dec	w1	w1_err	h	h_err	k	k_err	Halpha_type	objtype_Hou	objtype_SIMBAD
J065524.38+061235.8	103.85162	6.209945	11.659	0.022	11.856	0.024	11.767	0.026	I	CBe	-
J064616.21+054834.7	101.56756	5.8096411	12.552	0.024	12.649	0.028	12.568	0.027	I	CBe	-
J064410.78+084732.6	101.04492	8.792403	9.578	0.023	9.936	0.022	9.737	0.021	I	CBe	StarinCluster
J064514.87+115223.7	101.31196	11.87326	12.062	0.023	12.496	0.025	12.319	0.026	I	CBe	-
J064514.87+115223.7	101.31196	11.87326	12.062	0.023	12.496	0.025	12.319	0.026	I	CBe	-
J063653.75+133219.2	99.223971	13.538689	10.137	0.023	10.840	0.025	10.531	0.020	I	CBe	Emission-lineStar
J041754.00+503142.6	64.475025	50.528507	8.994	0.024	9.758	0.031	9.403	0.021	I	CBe	Emission-lineStar
J042105.03+502714.1	65.270989	50.453926	9.601	0.023	10.262	0.028	10.165	0.024	I	CBe	Emission-lineStar
J065802.15+121149.3	104.50898	12.197036	9.978	0.023	10.174	0.030	10.109	0.020	I	CBe	Star
J045459.94+434102.3	73.749767	43.683983	11.719	0.025	12.088	0.031	12.015	0.026	I	CBe	-
J050815.63+434714.1	77.065162	43.787266	10.102	0.024	10.694	0.028	10.637	0.021	I	CBe	Star
J045303.72+420218.1	73.265531	42.038381	11.706	0.024	12.173	0.019	12.066	0.021	I	CBe	-
J045814.95+414209.4	74.56232	41.702629	11.183	0.023	11.759	0.021	11.499	0.019	I	CBe	-
J045052.94+425208.9	72.720624	42.869139	11.631	0.024	12.111	0.021	11.937	0.019	I	CBe	-
J064801.24+130012.9	102.00518	13.003608	10.518	0.023	10.844	0.031	10.606	0.021	I	CBe	Emission-lineStar
J044952.15+402043.8	72.467329	40.345512	12.659	0.025	12.940	0.023	12.867	0.028	I	CBe	-
J044045.25+423538.0	70.188558	42.593891	11.597	0.024	12.019	0.035	11.840	0.028	I	CBe	Emission-lineStar
J044914.36+415551.4	72.309838	41.930946	9.994	0.022	10.531	0.017	10.304	0.020	I	CBe	Emission-lineStar
J065207.36+081125.0	103.03068	8.1903048	11.907	0.022	12.106	0.025	12.019	0.023	I	CBe	-
J064845.66+115640.7	102.19027	11.944653	11.150	0.023	11.358	0.023	11.264	0.021	I	CBe	Star
J052102.35+394935.2	80.259821	39.826449	9.284	0.022	9.730	0.022	9.577	0.020	I	CBe	Emission-lineStar
J051900.97+380512.1	79.754083	38.086696	10.426	0.024	10.896	0.029	10.751	0.025	I	CBe	Emission-lineStar
J063500.45+171044.7	98.751885	17.179108	10.769	0.023	11.416	0.025	11.233	0.021	I	CBe	Star
J054502.07+395444.0	86.25866	39.912228	10.874	0.023	11.570	0.032	11.364	0.021	I	CBe	-
J054016.18+411848.8	85.067432	41.31356	11.448	0.024	11.712	0.028	11.650	0.022	I	CBe	-
J064714.86+035830.0	101.81194	3.9750016	11.444	0.023	11.793	0.027	11.641	0.024	I	CBe	-
J064155.59+062439.6	100.48163	6.4110066	11.250	0.022	11.678	0.022	11.596	0.024	I	CBe	-
J063202.58+050508.6	98.010784	5.085736	10.049	0.024	10.085	0.024	10.086	0.024	I	CBe	StarinCluster
J063801.25+022452.5	99.505235	2.414584	9.397	0.023	9.619	0.024	9.468	0.021	I	CBe	Star
J063416.35+023030.2	98.568135	2.5083942	11.916	0.054	12.072	0.024	12.003	0.027	I	CBe	-
J063434.90+042215.0	98.645451	4.370846	11.429	0.025	11.820	0.027	11.541	0.023	I	CBe	-
J063443.48+045837.7	98.681174	4.977152	11.217	0.025	11.494	0.029	11.432	0.024	I	CBe	StarinCluster
J063316.81+043028.1	98.320048	4.507829	9.988	0.023	10.544	0.027	10.321	0.023	I	CBe	StarinCluster
J063312.07+043617.7	98.30033	4.6049349	9.698	0.023	9.856	0.027	9.849	0.024	I	CBe	StarinCluster
J063128.14+044403.8	97.867282	4.7344074	9.722	0.023	10.182	0.022	9.905	0.021	I	CBe	-
J052314.90+374253.6	80.812104	37.714905	9.040	0.023	9.582	0.015	9.475	0.015	I	CBe	Emission-lineStar
J052201.61+373806.0	80.50674	37.63501	10.050	0.023	10.430	0.016	10.190	0.014	I	CBe	-
J063500.45+171044.7	98.751885	17.179108	10.769	0.023	11.416	0.025	11.233	0.021	I	CBe	Star
J063320.71+044427.1	98.33631	4.7408789	11.804	0.151	12.065	0.030	11.978	0.021	I	CBe	StarinAssociation
J063706.61+050124.1	99.277582	5.023364	9.963	0.023	10.392	0.023	10.182	0.021	I	CBe	StarinCluster
J064634.50+035426.1	101.64375	3.9072543	12.175	0.024	12.436	0.027	12.321	0.024	I	CBe	-
J064433.60+045757.7	101.14	4.966043	8.982	0.023	9.532	0.021	9.264	0.019	I	CBe	Emission-lineStar
J064815.24+044220.4	102.0635	4.705688	12.150	0.023	12.482	0.027	12.375	0.026	I	CBe	-
J063131.81+053051.7	97.882548	5.514367	8.729	0.022	9.285	0.022	9.057	0.021	I	CBe	Emission-lineStar
J063315.58+214312.1	98.314948	21.720045	11.402	0.024	11.773	0.023	11.766	0.021	I	CBe	Star
J062652.44+414955.7	96.718539	41.83215	10.009	0.023	10.287	0.033	10.161	0.019	I	CBe	Star
J055342.76+215223.3	88.428167	21.873139	12.943	0.024	13.370	0.026	13.265	0.028	I	CBe	-
J055339.79+315112.3	88.415833	31.853417	11.836	0.023	12.030	0.040	11.844	0.024	I	CBe	-
J054955.18+325006.9	87.479917	32.83525	12.488	0.024	12.921	0.023	12.645	0.026	I	CBe	-
J052941.90+273400.5	82.424611	27.56682	13.097	0.026	13.662	0.035	13.485	0.034	I	CBe	-
J052850.94+272112.0	82.212254	27.353348	12.877	0.025	13.300	0.031	13.137	0.030	I	CBe	-
J053304.40+300057.1	83.268348	30.015879	12.903	0.024	13.412	0.027	13.125	0.027	I	CBe	-
J053532.41+325750.7	83.885045	32.964092	13.394	0.027	13.802	0.033	13.738	0.039	I	CBe	-
J052550.05+304551.9	81.458583	30.764417	12.731	0.024	13.184	0.020	12.992	0.027	I	CBe	-
J054705.80+223409.9	86.774167	22.569444	12.838	0.024	13.245	0.026	13.047	0.028	I	CBe	-
J044831.51+340624.2	72.131321	34.106738	13.164	0.025	13.714	0.030	13.561	0.035	I	CBe	-
